,match,day_of_week,date,hour,venue,referee,group,1,2,attendance,1_expected_goals,2_expected_goals,1_poss,2_poss,1_goals,2_goals,1_attempts,2_attempts,1_conceded,2_conceded,1_goal_inside_penalty_area,2_goal_inside_penalty_area,1_goal_outside_penalty_area,2_goal_outside_penalty_area,1_offtarget,2_offtarget,1_attempts_inside_penalty_area,2_attempts_inside_penalty_area,1_attempts_outside_penalty_area,2_attempts_outside_penalty_area,1_offsides,2_offsides,1_goal_prevented,2_goal_prevented,1_own_goal,2_own_goal,1_forced_turnovers,2_forced_turnovers,1_defensive_pressure_applied,2_defensive_pressure_applied,team1_completed_passes,team1_attempted_pases,team2_completed_passes,team2_attempted_pases,team1_shots_on_target,team2_shots_on_target,team1_total_shots,team2_total_shots,team1_saves,team2_saves,team1_fouls,team2_fouls,team1_corners,team2_corners,team1_crosses,team2_crosses,team1_tackles,team2_tackles,team1_interceptions,team2_interceptions,team1_aerials_won,team2_aerials_won,team1_clearances,team2_clearances,team1_offsides,team2_offsides,penalties scored team1,penalties scored team2,free kicks team1,free kicks team2,yellow cards team1,yellow cards team2,red cards team1,red cards team2
10,11,Wed,23-Nov-22,17:00,Al Thumama Stadium,Mohammed Abdulla Hassan,Group E,SPAIN,COSTA RICA,40013,3.5,0.0,81,19,7,0,17,0,0,7,7,0,0,0,8,0,12,0,5,0,3,7,0,17,0,0,46,76,185,585,1009.0,1093.0,178.0,256.0,7.0,0.0,16.0,0.0,0.0,1.0,8.0,12.0,5.0,0.0,15.0,4.0,14.0,21.0,4.0,14.0,9.0,13.0,4.0,18.0,3.0,7.0,1.0,0.0,18.0,11.0,0.0,2.0,0.0,0.0
11,12,Wed,23-Nov-22,20:00,Ahmed bin Ali Stadium,Janny Sikazwe,Group F,BELGIUM,CANADA,40432,0.8,2.4,53,47,1,0,9,21,0,1,1,0,0,0,6,12,6,16,3,5,0,1,21,9,0,0,74,47,284,320,451.0,546.0,392.0,485.0,3.0,2.0,9.0,21.0,2.0,2.0,11.0,14.0,4.0,4.0,7.0,19.0,19.0,13.0,3.0,5.0,8.0,7.0,29.0,4.0,0.0,1.0,0.0,0.0,15.0,10.0,3.0,2.0,0.0,0.0
12,13,Thu,24-Nov-22,11:00,Al Janoub Stadium,Facundo Tello,Group G,SWITZERLAND,CAMEROON,39089,1.4,0.7,51,49,1,0,8,7,0,1,1,0,0,0,4,2,6,6,2,1,2,2,7,8,0,0,64,79,313,316,455.0,558.0,442.0,537.0,3.0,5.0,7.0,8.0,5.0,2.0,12.0,10.0,11.0,5.0,20.0,23.0,15.0,12.0,3.0,11.0,14.0,12.0,20.0,17.0,2.0,2.0,0.0,0.0,11.0,14.0,2.0,1.0,0.0,0.0
13,14,Thu,24-Nov-22,14:00,Education City Stadium,Clement Turpin,Group H,URUGUAY,KOREA REPUBLIC,41663,0.6,0.6,56,44,0,0,10,6,0,0,0,0,0,0,6,5,7,1,3,5,1,0,6,10,0,0,65,54,240,231,475.0,585.0,350.0,467.0,1.0,0.0,10.0,7.0,0.0,1.0,7.0,10.0,4.0,3.0,13.0,19.0,16.0,12.0,10.0,10.0,25.0,21.0,20.0,16.0,1.0,0.0,0.0,0.0,10.0,8.0,1.0,1.0,0.0,0.0
14,15,Thu,24-Nov-22,17:00,Stadium 974,Ismail Elfath,Group H,PORTUGAL,GHANA,42662,2.0,0.9,62,38,3,2,11,8,2,3,3,2,0,0,3,5,7,2,4,6,1,1,8,11,0,0,70,82,286,326,573.0,660.0,328.0,413.0,4.0,3.0,10.0,9.0,1.0,2.0,14.0,19.0,3.0,3.0,20.0,11.0,16.0,14.0,5.0,6.0,19.0,7.0,15.0,17.0,1.0,1.0,1.0,0.0,19.0,15.0,2.0,4.0,0.0,0.0
15,16,Thu,24-Nov-22,20:00,Lusail Iconic Stadium,Alireza Faghani,Group G,BRAZIL,SERBIA,88103,2.4,0.2,59,41,2,0,24,4,0,2,2,0,0,0,9,3,11,1,13,3,1,0,4,24,0,0,72,71,236,338,534.0,628.0,344.0,439.0,9.0,0.0,23.0,5.0,0.0,7.0,7.0,12.0,6.0,4.0,17.0,13.0,17.0,24.0,2.0,11.0,8.0,11.0,16.0,22.0,1.0,0.0,0.0,0.0,12.0,8.0,0.0,3.0,0.0,0.0
16,17,Fri,25-Nov-22,11:00,Ahmed bin Ali Stadium,Mario Escobar,Group B,WALES,IRAN,40875,0.9,1.4,62,38,0,2,10,21,2,0,0,1,0,1,4,6,5,7,5,14,2,2,21,9,0,0,89,84,161,276,437.0,568.0,222.0,350.0,3.0,6.0,10.0,21.0,4.0,3.0,9.0,10.0,2.0,7.0,20.0,24.0,10.0,19.0,6.0,14.0,21.0,15.0,30.0,20.0,2.0,2.0,0.0,0.0,12.0,11.0,1.0,2.0,1.0,0.0
17,18,Fri,25-Nov-22,14:00,Al Thumama Stadium,Antonio Mateu Lahoz,Group A,QATAR,SENEGAL,41797,1.0,0.8,45,55,1,3,10,12,3,1,1,3,0,0,7,6,4,10,6,2,4,3,12,11,0,0,67,67,308,232,333.0,417.0,459.0,548.0,3.0,5.0,10.0,13.0,2.0,2.0,7.0,12.0,6.0,6.0,20.0,18.0,16.0,8.0,10.0,5.0,12.0,15.0,16.0,18.0,4.0,3.0,0.0,0.0,15.0,11.0,3.0,3.0,0.0,0.0
18,19,Fri,25-Nov-22,17:00,Khalifa International Stadium,Mustapha Ghorbal,Group A,NETHERLANDS,ECUADOR,44833,0.1,1.7,54,46,1,1,2,13,1,1,0,1,1,0,1,3,0,8,2,5,1,4,14,2,0,0,85,52,254,279,442.0,542.0,358.0,468.0,1.0,4.0,2.0,15.0,3.0,0.0,15.0,12.0,2.0,5.0,7.0,22.0,25.0,16.0,9.0,9.0,18.0,15.0,23.0,16.0,1.0,4.0,0.0,0.0,16.0,16.0,0.0,1.0,0.0,0.0
19,20,Fri,25-Nov-22,20:00,Al Bayt Stadium,Jesús Valenzuela Sáez,Group B,ENGLAND,UNITED STATES,68463,0.8,0.6,55,45,0,0,8,10,0,0,0,0,0,0,4,7,6,6,2,4,1,0,10,8,0,0,52,61,266,350,495.0,577.0,378.0,463.0,3.0,1.0,8.0,10.0,1.0,3.0,9.0,15.0,3.0,7.0,14.0,16.0,9.0,12.0,9.0,3.0,11.0,10.0,21.0,15.0,1.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0
20,21,Sat,26-Nov-22,11:00,Al Janoub Stadium,Daniel Siebert,Group D,TUNISIA,AUSTRALIA,41823,0.9,0.6,59,41,0,1,13,8,1,0,0,1,0,0,5,3,9,5,4,3,3,0,9,13,0,0,81,88,217,273,418.0,565.0,264.0,398.0,4.0,2.0,14.0,9.0,1.0,4.0,16.0,15.0,5.0,2.0,25.0,21.0,18.0,19.0,8.0,11.0,26.0,24.0,24.0,38.0,3.0,0.0,0.0,0.0,15.0,19.0,3.0,0.0,0.0,0.0
21,22,Sat,26-Nov-22,14:00,Education City Stadium,Wilton Sampaio,Group C,POLAND,SAUDI ARABIA,44259,1.6,1.7,37,63,2,0,8,16,0,2,2,0,0,0,3,9,8,9,0,7,0,0,16,9,0,0,69,53,329,173,249.0,337.0,483.0,582.0,3.0,4.0,9.0,15.0,4.0,1.0,18.0,15.0,4.0,5.0,16.0,20.0,13.0,14.0,9.0,9.0,15.0,20.0,29.0,13.0,0.0,0.0,0.0,0.0,15.0,17.0,3.0,2.0,0.0,0.0
22,23,Sat,26-Nov-22,17:00,Stadium 974,Szymon Marciniak,Group D,FRANCE,DENMARK,42860,2.4,0.6,49,51,2,1,21,10,1,2,2,1,0,0,8,6,16,5,5,5,1,1,10,21,0,0,79,61,269,282,455.0,539.0,485.0,572.0,6.0,2.0,21.0,10.0,1.0,4.0,4.0,9.0,6.0,4.0,20.0,16.0,20.0,19.0,10.0,5.0,9.0,14.0,15.0,18.0,1.0,1.0,0.0,0.0,10.0,5.0,1.0,2.0,0.0,0.0
23,24,Sat,26-Nov-22,20:00,Lusail Iconic Stadium,Daniele Orsato,Group C,ARGENTINA,MEXICO,88966,0.3,0.3,58,42,2,0,5,4,0,2,1,0,1,0,3,2,2,1,3,3,2,4,4,5,0,0,63,79,220,327,471.0,568.0,304.0,409.0,2.0,1.0,5.0,4.0,1.0,0.0,15.0,19.0,4.0,2.0,13.0,15.0,14.0,18.0,7.0,13.0,15.0,14.0,18.0,17.0,2.0,4.0,0.0,0.0,23.0,17.0,1.0,4.0,0.0,0.0
